title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Free! -Eternal Summer-,"Comedy, Drama, Slice of Life, Sports",Kyoto Animation,13,2014,TV,74,AniList
Haibane Renmei,"Drama, Fantasy, Mystery, Psychological, Slice of Life",Radix,13,2002,TV,79,AniList
Saga of Tanya the Evil - the Movie -,"Action, Fantasy",NUT,1,2019,MOVIE,81,AniList
Love Tyrant,"Comedy, Ecchi, Romance, Supernatural",EMT Squared,12,2017,TV,63,AniList
Ragna Crimson,"Action, Adventure, Fantasy, Mystery",SILVER LINK.,24,2023,TV,74,AniList
Rainbow,"Drama, Psychological, Thriller",MADHOUSE,26,2010,TV,81,AniList
Romantic Killer,"Comedy, Romance",domerica,12,2022,ONA,79,AniList
Fire Force Season 3,"Action, Drama, Sci-Fi, Supernatural",David Production,12,2025,TV,78,AniList
Rurouni Kenshin,"Action, Adventure, Comedy, Drama, Romance",Studio Gallop,94,1996,TV,79,AniList
Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,"Adventure, Comedy, Fantasy",LIDENFILMS,12,2021,TV,62,AniList
Durarara!! X2 The Second Arc,"Action, Mystery, Supernatural",Shuka,12,2015,TV,78,AniList
Campfire Cooking in Another World with my Absurd Skill,"Adventure, Comedy, Fantasy",MAPPA,12,2023,TV,76,AniList
Spice and Wolf: MERCHANT MEETS THE WISE WOLF,"Adventure, Fantasy, Romance, Slice of Life",Toho,25,2024,TV,79,AniList
Mononoke,"Fantasy, Horror, Mystery, Psychological, Supernatural",Toei Animation,12,2007,TV,81,AniList
K-ON!: The Movie,"Comedy, Music, Slice of Life",Kyoto Animation,1,2011,MOVIE,83,AniList
The Future Diary: Redial,"Action, Psychological, Supernatural",Asread,1,2013,OVA,68,AniList
Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,"Action, Drama, Horror, Mystery, Psychological, Sci-Fi, Thriller",Lerche,11,2016,TV,71,AniList
The King's Avatar,"Action, Drama",G.CMay Animation & Film,12,2017,ONA,75,AniList
Black Clover: Sword of the Wizard King,"Action, Adventure, Comedy, Fantasy",Shueisha,1,2023,MOVIE,80,AniList
