title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Re:ZERO -Starting Life in Another World- Season 2,"Action, Adventure, Drama, Fantasy, Psychological, Thriller",WHITE FOX,13,2020-07,Tv,83,AniList
Code Geass: Lelouch of the Rebellion R2,"Action, Drama, Mecha, Sci-Fi, Thriller",Sunrise,25,2008-04,Tv,87,AniList
Frieren: Beyond Journey’s End,"Adventure, Drama, Fantasy",Toho,28,2023-09,Tv,91,AniList
Hyouka,"Mystery, Romance, Slice of Life",Kyoto Animation,22,2012-04,Tv,79,AniList
Fate/Zero,"Action, Drama, Fantasy, Supernatural",Aniplex,13,2011-10,Tv,81,AniList
Howl‘s Moving Castle,"Adventure, Drama, Fantasy, Romance",Studio Ghibli,1,2004-11,Movie,85,AniList
I Want to Eat Your Pancreas,"Drama, Romance, Slice of Life",Studio VOLN,1,2018-09,Movie,84,AniList
"Love, Chunibyo & Other Delusions","Comedy, Drama, Romance, Slice of Life",Kyoto Animation,12,2012-10,Tv,75,AniList
Devilman Crybaby,"Action, Drama, Horror, Psychological, Supernatural",Science SARU,10,2018-01,Ona,76,AniList
Weathering With You,"Drama, Romance, Slice of Life, Supernatural",CoMix Wave,1,2019-07,Movie,81,AniList
Bakemonogatari,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",Aniplex,15,2009-07,Tv,82,AniList
The Disastrous Life of Saiki K.,"Comedy, Slice of Life, Supernatural",J.C.STAFF,120,2016-07,Tv Short,83,AniList
Miss Kobayashi's Dragon Maid,"Comedy, Fantasy, Slice of Life",Kyoto Animation,13,2017-01,Tv,78,AniList
JoJo's Bizarre Adventure: Stardust Crusaders,"Action, Adventure, Supernatural",David Production,24,2014-04,Tv,79,AniList
Tower of God,"Action, Adventure, Drama, Fantasy, Mystery",Telecom Animation Film,13,2020-04,Tv,74,AniList
The Promised Neverland Season 2,"Action, Adventure, Drama, Fantasy, Horror, Psychological, Thriller",CloverWorks,11,2021-01,Tv,51,AniList
Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",ufotable,7,2021-10,Tv,82,AniList
Dr. STONE: STONE WARS,"Action, Adventure, Comedy, Sci-Fi",TMS Entertainment,11,2021-01,Tv,81,AniList
Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,"Action, Adventure, Drama, Fantasy, Supernatural",ufotable,11,2023-04,Tv,81,AniList
Wotakoi: Love is Hard for Otaku,"Comedy, Romance, Slice of Life",A-1 Pictures,11,2018-04,Tv,78,AniList
Seraph of the End: Vampire Reign,"Action, Drama, Fantasy, Mystery, Supernatural",WIT STUDIO,12,2015-04,Tv,73,AniList
Noragami Aragoto,"Action, Adventure, Comedy, Supernatural",bones,13,2015-10,Tv,80,AniList
Puella Magi Madoka Magica,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",Aniplex,12,2011-01,Tv,83,AniList
Monster,"Drama, Horror, Mystery, Psychological, Thriller",MADHOUSE,74,2004-04,Tv,88,AniList
BANANA FISH,"Action, Drama, Psychological, Thriller",MAPPA,24,2018-07,Tv,83,AniList
Cyberpunk: Edgerunners,"Action, Drama, Psychological, Sci-Fi",TRIGGER,10,2022-09,Ona,85,AniList
SPY x FAMILY Cour 2,"Action, Comedy, Slice of Life, Supernatural",WIT STUDIO,13,2022-10,Tv,82,AniList
